year,firm,category,audits_inspected,audits_deficient
2020,Deloitte,Greater Than $50 billion,4,0
2016,KPMG,Greater Than $50 billion,0,1
2017,KPMG,Greater Than $50 billion,2,1
2018,KPMG,Greater Than $50 billion,0,1
2019,KPMG,Greater Than $50 billion,0,1
2020,KPMG,Greater Than $50 billion,4,1
2016,PricewaterhouseCoopers,Greater Than $50 billion,3,0
2017,PricewaterhouseCoopers,Greater Than $50 billion,0,0
2018,PricewaterhouseCoopers,Greater Than $50 billion,0,1
2019,PricewaterhouseCoopers,Greater Than $50 billion,4,1
2020,PricewaterhouseCoopers,Greater Than $50 billion,7,0
2016,Ernst & Young,Greater Than $50 billion,1,0
2017,Ernst & Young,Greater Than $50 billion,1,0
2018,Ernst & Young,Greater Than $50 billion,0,1
2019,Ernst & Young,Greater Than $50 billion,2,1
2020,Ernst & Young,Greater Than $50 billion,6,1
2016,Deloitte,Less Than $100 million,1,1
2017,Deloitte,Less Than $100 million,1,0
2018,Deloitte,Less Than $100 million,1,0
2019,Deloitte,Less Than $100 million,8,0
2020,Deloitte,Less Than $100 million,3,0
2016,KPMG,Less Than $100 million,2,0
2017,KPMG,Less Than $100 million,3,0
2018,KPMG,Less Than $100 million,0,0
2019,KPMG,Less Than $100 million,5,0
2020,KPMG,Less Than $100 million,3,1
2016,PricewaterhouseCoopers,Less Than $100 million,0,0
2017,PricewaterhouseCoopers,Less Than $100 million,0,1
2018,PricewaterhouseCoopers,Less Than $100 million,1,2
2019,PricewaterhouseCoopers,Less Than $100 million,3,1
2020,PricewaterhouseCoopers,Less Than $100 million,2,0
2016,Ernst & Young,Less Than $100 million,0,0
2017,Ernst & Young,Less Than $100 million,1,0
2018,Ernst & Young,Less Than $100 million,2,0
2019,Ernst & Young,Less Than $100 million,7,0
2020,Ernst & Young,Less Than $100 million,3,0
